tu_id	speaker	start	end	duration	text
82	PKP031	164.200	167.440	3.240	 [>oppure< devi stringere BENE BENE e mettere gli occhiali su]
83	PKP038	168.535	169.995	1.460	 il nonno di tiktok,
84	PKP038	170.660	178.060	7.400	 in realtà è una tizia che me~ che fa sempre: {P} i gli indovinelli a suo nonno {P} e [li sa TUTTI]
85	PKP031	177.035	178.375	1.340	 [A:::h]
86	PKP031	178.410	178.830	0.420	 (°capito°)
87	PKP012	178.860	179.980	1.120	 ma secon[do me,]
88	PKP038	179.265	180.555	1.290	 [e quindi] è diventato <famoso>
89	PKP012	180.595	182.385	1.790	 ma secondo me si preparano prima
90	PKP012	182.555	183.225	0.670	 perché dai
91	PKP031	183.320	184.990	1.670	 beh beppe allora puo' anche sedersi qua
92	PKP031	185.720	186.070	0.350	 °eh:°
93	PKP012	186.095	187.415	1.320	 è la nella che [sta:]
94	PKP038	186.840	188.650	1.810	 [NO NO] NO non si preparano
95	PKP038	189.710	194.130	4.420	 ma i nonni sai che gli indovinelli e tutte le i detti li sanno tutti a memoria
96	PKP012	195.640	199.060	3.420	 O la giulia ha preso questo autobus o viene con i suoi.
97	PKP038	199.235	200.455	1.220	 devi sederti là,
98	PKP011	200.550	201.725	1.175	 buonasera bellezze.
99	PKP031	201.745	204.395	2.650	 NO vabbé ma siamo in quattro [{P} o la ale]
100	PKP012	203.405	206.225	2.820	 [NO lui puoi] stare è la ale che deve [andare]
101	PKP031	205.650	209.970	4.320	 [beppe] puoi sederti qua [{P} pero'] dovremo fare in modo che ci puliscano la roba qua
102	PKP011	206.745	208.075	1.330	 [sì eh xxx]
103	PKP012	210.500	211.020	0.520	 non so,
104	PKP031	211.035	211.835	0.800	 eh da ades[so]
105	PKP038	211.890	215.240	3.350	 [vabbè] adesso andiamo là e:: andiamo a vedere le paste [(dai)]
106	PKP031	214.990	216.820	1.830	 [andate] voi due e dopo andiamo::
107	PKP012	216.985	218.745	1.760	 MA non prendete [anche] per noi?
108	PKP031	217.750	218.030	0.280	 [io e te]
109	PKP038	219.465	221.545	2.080	 °eh xx bignè al cioccolato,°
110	PKP012	221.660	223.180	1.520	 e un tè al <limone>
